Mes;Empresa;Tipo de servicio;Tipo de producto;Trayecto;Precio (€)
2024-03;Total;Comercial;LD AV;Madrid-Sevilla;52,91
2024-03;Total;Comercial;LD AV;Madrid-Valencia;30,83
2024-04;Iryo;Comercial;LD AV;Madrid-Alicante;33,21
2024-04;Iryo;Comercial;LD AV;Madrid-Barcelona;42,97
2024-04;Iryo;Comercial;LD AV;Madrid-Málaga;40,4
2024-04;Iryo;Comercial;LD AV;Madrid-Sevilla;46,65
2024-04;Iryo;Comercial;LD AV;Madrid-Valencia;22,87
2024-04;OUIGO;Comercial;LD AV;Madrid-Alicante;27,28
2024-04;OUIGO;Comercial;LD AV;Madrid-Barcelona;36,98
2024-04;OUIGO;Comercial;LD AV;Madrid-Valencia;22,1
2024-04;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;44,12
2024-04;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;62,99
2024-04;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;49,14
2024-04;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;58,35
2024-04;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;36,06
2024-04;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;26,91
2024-04;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;41,13
2024-04;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;42,84
2024-04;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;41,38
2024-04;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;21,56
2024-04;Total;Comercial;LD AV;Madrid-Alicante;38,05
2024-04;Total;Comercial;LD AV;Madrid-Barcelona;51,78
2024-04;Total;Comercial;LD AV;Madrid-Málaga;46,33
2024-04;Total;Comercial;LD AV;Madrid-Sevilla;54,2
2024-04;Total;Comercial;LD AV;Madrid-Valencia;28,06
2024-05;Iryo;Comercial;LD AV;Madrid-Alicante;35,68
2024-05;Iryo;Comercial;LD AV;Madrid-Barcelona;45,56
2024-05;Iryo;Comercial;LD AV;Madrid-Málaga;41,1
2024-05;Iryo;Comercial;LD AV;Madrid-Sevilla;47,4
2024-05;Iryo;Comercial;LD AV;Madrid-Valencia;24,45
2024-05;OUIGO;Comercial;LD AV;Madrid-Alicante;30,76
2024-05;OUIGO;Comercial;LD AV;Madrid-Barcelona;43,41
2024-05;OUIGO;Comercial;LD AV;Madrid-Valencia;24,86
